HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.image_url1,Input.image_url2,Answer.taskAnswers,Approve,Reject
38EHZ67RIM777KTDCED2NQY905RMGQ,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:58 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:58 PST 2020,,,3E4GGUZ1T96OOMJXIPKZVT8RTOAK25,A7EP668Z0WF6G,Submitted,Thu Nov 12 17:03:16 PST 2020,Thu Nov 12 17:03:33 PST 2020,Sun Nov 15 17:03:33 PST 2020,,,,17,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/All_box/3_Ours.png,https://yzhouas.github.io/MHIP/All_box/3_DVI.png,"[{""Image"":{""img1"":true,""img2"":false}}]",,
38EHZ67RIM777KTDCED2NQY905RMGQ,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:58 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:58 PST 2020,,,3GGAI1SQEWDWCSB20UMLMJ9HUKDMCG,A1LK8J9O8U4TK9,Submitted,Thu Nov 12 16:37:27 PST 2020,Thu Nov 12 16:37:37 PST 2020,Sun Nov 15 16:37:37 PST 2020,,,,10,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/All_box/3_Ours.png,https://yzhouas.github.io/MHIP/All_box/3_DVI.png,"[{""Image"":{""img1"":true,""img2"":false}}]",,
38EHZ67RIM777KTDCED2NQY905RMGQ,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:58 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:58 PST 2020,,,3IXQG4FA2UDYV302XLML6DXFC029BT,A1MC3CCKEU9UTR,Submitted,Thu Nov 12 16:10:09 PST 2020,Thu Nov 12 16:10:16 PST 2020,Sun Nov 15 16:10:16 PST 2020,,,,7,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/All_box/3_Ours.png,https://yzhouas.github.io/MHIP/All_box/3_DVI.png,"[{""Image"":{""img1"":true,""img2"":false}}]",,
38EHZ67RIM777KTDCED2NQY905RMGQ,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:58 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:58 PST 2020,,,3X3OR7WPZ0FAU734J651KKY94O78LZ,A9IQ8ED0WSB77,Submitted,Thu Nov 12 17:00:56 PST 2020,Thu Nov 12 17:01:05 PST 2020,Sun Nov 15 17:01:05 PST 2020,,,,9,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/All_box/3_Ours.png,https://yzhouas.github.io/MHIP/All_box/3_DVI.png,"[{""Image"":{""img1"":true,""img2"":false}}]",,
3RIHDBQ1NEDL7GOOWKVK8QAAF54MHP,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:58 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:58 PST 2020,,,32VNZTT0A8JKE4BFCNCKPKR38URR4S,A9IQ8ED0WSB77,Submitted,Thu Nov 12 16:15:11 PST 2020,Thu Nov 12 16:15:18 PST 2020,Sun Nov 15 16:15:18 PST 2020,,,,7,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/All_box/62_Ours.png,https://yzhouas.github.io/MHIP/All_box/62_OPN.png,"[{""Image"":{""img1"":true,""img2"":false}}]",,
3RIHDBQ1NEDL7GOOWKVK8QAAF54MHP,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:58 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:58 PST 2020,,,3B1NLC6UG0BFE7OKUWAWTEORXG6PGD,A3O0NNIW4KA2PV,Submitted,Thu Nov 12 15:38:34 PST 2020,Thu Nov 12 15:38:47 PST 2020,Sun Nov 15 15:38:47 PST 2020,,,,13,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/All_box/62_Ours.png,https://yzhouas.github.io/MHIP/All_box/62_OPN.png,"[{""Image"":{""img1"":true,""img2"":false}}]",,
3RIHDBQ1NEDL7GOOWKVK8QAAF54MHP,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:58 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:58 PST 2020,,,3FTOP5WARG3MHSA1LHG9BQFZH1F0JR,A1MC3CCKEU9UTR,Submitted,Thu Nov 12 16:00:50 PST 2020,Thu Nov 12 16:00:54 PST 2020,Sun Nov 15 16:00:54 PST 2020,,,,4,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/All_box/62_Ours.png,https://yzhouas.github.io/MHIP/All_box/62_OPN.png,"[{""Image"":{""img1"":true,""img2"":false}}]",,
3RIHDBQ1NEDL7GOOWKVK8QAAF54MHP,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:58 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:58 PST 2020,,,3I7DHKZYGOF57XA6ZXV0DNJY52G5FL,A1XM3URUD94QOV,Submitted,Thu Nov 12 16:38:39 PST 2020,Thu Nov 12 16:38:58 PST 2020,Sun Nov 15 16:38:58 PST 2020,,,,19,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/All_box/62_Ours.png,https://yzhouas.github.io/MHIP/All_box/62_OPN.png,"[{""Image"":{""img1"":false,""img2"":true}}]",,
3RIHDBQ1NEDL7GOOWKVK8QAAF54MHP,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:58 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:58 PST 2020,,,3U5JL4WY5LO4B0XRLMICE2DR9BK4X9,A1U25HALON1LY6,Submitted,Thu Nov 12 16:54:17 PST 2020,Thu Nov 12 16:56:51 PST 2020,Sun Nov 15 16:56:51 PST 2020,,,,154,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/All_box/62_Ours.png,https://yzhouas.github.io/MHIP/All_box/62_OPN.png,"[{""Image"":{""img1"":true,""img2"":false}}]",,
3RIHDBQ1NEDL7GOOWKVK8QAAF54MHP,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:58 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:58 PST 2020,,,3WJ1OXY92BVTYOC0MFGBB6IYAC78AG,A2W2AP0ULMY38G,Submitted,Thu Nov 12 16:55:16 PST 2020,Thu Nov 12 16:55:28 PST 2020,Sun Nov 15 16:55:28 PST 2020,,,,12,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/All_box/62_Ours.png,https://yzhouas.github.io/MHIP/All_box/62_OPN.png,"[{""Image"":{""img1"":true,""img2"":false}}]",,
3RIHDBQ1NEDL7GOOWKVK8QAAF54MHP,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:58 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:58 PST 2020,,,3ZDAD0O1T2SOSLCH0NJKMAPJPAWTXP,A1LK8J9O8U4TK9,Submitted,Thu Nov 12 16:32:15 PST 2020,Thu Nov 12 16:32:21 PST 2020,Sun Nov 15 16:32:21 PST 2020,,,,6,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/All_box/62_Ours.png,https://yzhouas.github.io/MHIP/All_box/62_OPN.png,"[{""Image"":{""img1"":true,""img2"":false}}]",,
3YO4AH2FPDZ1HVGKQ5VGJ7VY3P00QP,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:58 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:58 PST 2020,,,34HJIJKLP6BC7BSWL7HUQHG6T074V1,A4AYXBQNKPA6I,Submitted,Thu Nov 12 16:28:45 PST 2020,Thu Nov 12 16:28:54 PST 2020,Sun Nov 15 16:28:54 PST 2020,,,,9,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/Check/3_HR.png,https://yzhouas.github.io/MHIP/Check/3_LR.png,"[{""Image"":{""img1"":true,""img2"":false}}]",,
3YO4AH2FPDZ1HVGKQ5VGJ7VY3P00QP,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:58 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:58 PST 2020,,,35DR22AR5EZJT4ENL8DT4XLLVBGX39,A1XM3URUD94QOV,Submitted,Thu Nov 12 16:16:26 PST 2020,Thu Nov 12 16:16:57 PST 2020,Sun Nov 15 16:16:57 PST 2020,,,,31,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/Check/3_HR.png,https://yzhouas.github.io/MHIP/Check/3_LR.png,"[{""Image"":{""img1"":true,""img2"":false}}]",,
3YO4AH2FPDZ1HVGKQ5VGJ7VY3P00QP,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:58 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:58 PST 2020,,,37Q970SNZFNFNKE94UTNHWPWIBUS1W,AIH7C1VQF6HHZ,Submitted,Thu Nov 12 15:38:49 PST 2020,Thu Nov 12 15:38:57 PST 2020,Sun Nov 15 15:38:57 PST 2020,,,,8,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/Check/3_HR.png,https://yzhouas.github.io/MHIP/Check/3_LR.png,"[{""Image"":{""img1"":true,""img2"":false}}]",,
3YO4AH2FPDZ1HVGKQ5VGJ7VY3P00QP,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:58 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:58 PST 2020,,,3OS4RQUCRAU7WDRF07MDG9JQFY2FBW,A1ZQSTHC4A4XNG,Submitted,Thu Nov 12 16:42:17 PST 2020,Thu Nov 12 16:42:25 PST 2020,Sun Nov 15 16:42:25 PST 2020,,,,8,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/Check/3_HR.png,https://yzhouas.github.io/MHIP/Check/3_LR.png,"[{""Image"":{""img1"":true,""img2"":false}}]",,
3YO4AH2FPDZ1HVGKQ5VGJ7VY3P00QP,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:58 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:58 PST 2020,,,3R6P78PK7LQD6ZHRBDJGYOPOMKWGTG,A1MC3CCKEU9UTR,Submitted,Thu Nov 12 16:08:53 PST 2020,Thu Nov 12 16:09:02 PST 2020,Sun Nov 15 16:09:02 PST 2020,,,,9,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/Check/3_HR.png,https://yzhouas.github.io/MHIP/Check/3_LR.png,"[{""Image"":{""img1"":true,""img2"":false}}]",,
3YO4AH2FPDZ1HVGKQ5VGJ7VY3P00QP,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:58 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:58 PST 2020,,,3W2LOLRXLCU5S60IXFZ0W1GZ5GIRKJ,A9IQ8ED0WSB77,Submitted,Thu Nov 12 16:21:17 PST 2020,Thu Nov 12 16:21:23 PST 2020,Sun Nov 15 16:21:23 PST 2020,,,,6,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/Check/3_HR.png,https://yzhouas.github.io/MHIP/Check/3_LR.png,"[{""Image"":{""img1"":true,""img2"":false}}]",,
3YO4AH2FPDZ1HVGKQ5VGJ7VY3P00QP,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:58 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:58 PST 2020,,,3YT88D1N09DD94FGMPY4E3DJZ27K3D,A1U25HALON1LY6,Submitted,Thu Nov 12 16:47:32 PST 2020,Thu Nov 12 16:47:44 PST 2020,Sun Nov 15 16:47:44 PST 2020,,,,12,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/Check/3_HR.png,https://yzhouas.github.io/MHIP/Check/3_LR.png,"[{""Image"":{""img1"":true,""img2"":false}}]",,
3N7PQ0KLI5481KPC01IZRO4RNYVE3L,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:52 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:52 PST 2020,,,33PPO7FECWUKL1RPFBJ4EWKIYBXIDO,A1MC3CCKEU9UTR,Submitted,Thu Nov 12 15:49:41 PST 2020,Thu Nov 12 15:49:46 PST 2020,Sun Nov 15 15:49:46 PST 2020,,,,5,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/All_box/37_Ours.png,https://yzhouas.github.io/MHIP/All_box/37_OPN.png,"[{""Image"":{""img1"":true,""img2"":false}}]",,
3N7PQ0KLI5481KPC01IZRO4RNYVE3L,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:52 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:52 PST 2020,,,354P56DE9LITY6TBTAAWI6G9LY47SK,A1XM3URUD94QOV,Submitted,Thu Nov 12 16:34:15 PST 2020,Thu Nov 12 16:34:34 PST 2020,Sun Nov 15 16:34:34 PST 2020,,,,19,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/All_box/37_Ours.png,https://yzhouas.github.io/MHIP/All_box/37_OPN.png,"[{""Image"":{""img1"":true,""img2"":false}}]",,
3N7PQ0KLI5481KPC01IZRO4RNYVE3L,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:52 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:52 PST 2020,,,35L9RVQFCPX668RRVOR8OKNRKYNHUE,A7EP668Z0WF6G,Submitted,Thu Nov 12 16:47:59 PST 2020,Thu Nov 12 16:48:46 PST 2020,Sun Nov 15 16:48:46 PST 2020,,,,47,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/All_box/37_Ours.png,https://yzhouas.github.io/MHIP/All_box/37_OPN.png,"[{""Image"":{""img1"":true,""img2"":false}}]",,
3N7PQ0KLI5481KPC01IZRO4RNYVE3L,3PZBZMF78IYMBEES67EIR6LC8HJ9XS,Image Completion Method Evaluation,Evaluate the image completion algorithm by choosing images,"image completion, hole filling, image inpainting",$0.02 ,Thu Nov 12 15:10:52 PST 2020,7,BatchId:4249384;OriginalHitTemplateId:928390912;,300,259200,Thu Nov 19 15:10:52 PST 2020,,,3EJPLAJKENV7VI1K5SZC8LDGD2MZ6K,A2W2AP0ULMY38G,Submitted,Thu Nov 12 16:47:19 PST 2020,Thu Nov 12 16:47:31 PST 2020,Sun Nov 15 16:47:31 PST 2020,,,,12,0% (0/0),0% (0/0),0% (0/0),https://yzhouas.github.io/MHIP/All_box/37_Ours.png,https://yzhouas.github.io/MHIP/All_box/37_OPN.png,"[{""Image"":{""img1"":true,""img2"":false}}]",,
